Station,Exit,latitude,longitude
CLEMENTI MRT STATION,Exit B,33083.5138,20417.4515
BUONA VISTA MRT STATION,Exit A,32181.1957,23229.0332
BUONA VISTA MRT STATION,Exit B,32168.7895,23252.1196
BUONA VISTA MRT STATION,Exit C,32137.3456,23245.75
QUEENSTOWN MRT STATION,Exit B,30745.9601,24994.3445
CHENG LIM LRT STATION,Exit A,42029.4578,34717.9643
CHENG LIM LRT STATION,Exit B,42008.8642,34744.1681
THANGGAM LRT STATION,Exit A,42120.618,32701.6135
THANGGAM LRT STATION,Exit B,42120.0015,32715.0205
KUPANG LRT STATION,Exit A,42240.7322,33321.7899
KUPANG LRT STATION,Exit B,42226.8654,33321.6529
FARMWAY LRT STATION,Exit A,42120.9055,34241.9414
FARMWAY LRT STATION,Exit B,42113.5109,34209.3979
LAYAR LRT STATION,Exit A,41548.749,33212.8052
LAYAR LRT STATION,Exit B,41561.8372,33210.9207
KRANJI MRT STATION,Exit B,45178.6058,20056.6788
KRANJI MRT STATION,Exit A,45166.0582,20065.3486
MARSILING MRT STATION,Exit C,46020.8047,21378.7536
MARSILING MRT STATION,Exit A,46057.5335,21422.1604
PAYA LEBAR MRT STATION,Exit A,33387.2232,34618.4026
PAYA LEBAR MRT STATION,Exit B,33401.7595,34554.8382
YIO CHU KANG MRT STATION,Exit C,40434.9287,29260.5718
YIO CHU KANG MRT STATION,Exit A,40400.7375,29281.5424
YIO CHU KANG MRT STATION,Exit B,40390.0243,29294.0792
ADMIRALTY MRT STATION,Exit C,46919.3616,24352.5243
ADMIRALTY MRT STATION,Exit A,46891.6481,24402.2752
SEMBAWANG MRT STATION,Exit A,47830.5918,26530.0653
SEMBAWANG MRT STATION,Exit B,47822.9558,26494.5065
YISHUN MRT STATION,Exit A,45680.9932,28163.0354
YISHUN MRT STATION,Exit D,45648.8535,28171.9251
KHATIB MRT STATION,Exit C,44370.4078,27951.9619
KHATIB MRT STATION,Exit A,44316.6137,27955.9129
KHATIB MRT STATION,Exit B,44326.0353,27931.9031
SEMBAWANG MRT STATION,Exit D,47840.5447,26562.5408
PASIR RIS MRT STATION,Exit B,39432.6124,40889.1736
PASIR RIS MRT STATION,Exit A,39427.7186,40911.0404
TAMPINES MRT STATION,Exit A,37318.1472,40402.8731
TAMPINES MRT STATION,Exit C,37277.7106,40418.1934
CHOA CHU KANG MRT STATION,Exit C,40853.3677,18117.6101
LITTLE INDIA MRT STATION,Exit C,32075.2416,29823.6374
LITTLE INDIA MRT STATION,Exit E,32194.0979,29892.3405
FARRER PARK MRT STATION,Exit D,32749.9778,30187.532
FARRER PARK MRT STATION,Exit C,32689.9439,30220.0504
FARRER PARK MRT STATION,Exit A,32735.9699,30387.6449
FARRER PARK MRT STATION,Exit G,32728.4656,30468.6906
CHANGI AIRPORT MRT STATION,Exit B,37700.5814,45136.8871
ESPLANADE MRT STATION,Exit G,30663.741,30404.073
ESPLANADE MRT STATION,Exit C,30588.3228,30508.1312
ESPLANADE MRT STATION,Exit B,30590.8498,30543.7964
RAFFLES PLACE MRT STATION,Exit C,29562.8682,30030.4017
RAFFLES PLACE MRT STATION,Exit J,29451.8191,30000.743
RAFFLES PLACE MRT STATION,Exit F,29442.126,29963.4457
RAFFLES PLACE MRT STATION,Exit I,29424.8471,30016.0201
TANJONG PAGAR MRT STATION,Exit E,28747.7716,29533.2943
BENCOOLEN MRT STATION,Exit B,31173.8183,29807.5789
TAMPINES EAST MRT STATION,Exit C,37516.0424,41620.1851
MATTAR MRT STATION,Exit A,34386.2897,33499.2191
TAMPINES MRT STATION,Exit E,37549.1757,40168.3213
UPPER CHANGI MRT STATION,Exit A,36002.0824,42246.1273
TAMPINES EAST MRT STATION,Exit B,37519.9156,41560.6791
JALAN BESAR MRT STATION,Exit B,31977.4678,30440.1603
BEDOK NORTH MRT STATION,Exit A,35257.158,37429.6989
UPPER CHANGI MRT STATION,Exit A,36018.1518,42205.1886
BEDOK NORTH MRT STATION,Exit B,35150.9887,37542.4389
BENDEMEER MRT STATION,Exit B,32863.5626,31327.6568
TAMPINES WEST MRT STATION,Exit A,36418.7605,39671.7919
UBI MRT STATION,Exit B,34671.5428,35263.5461
FORT CANNING MRT STATION,Exit B,30580.1251,29236.052
BEDOK NORTH MRT STATION,Exit B,35173.8134,37550.393
MATTAR MRT STATION,Exit B,34299.1709,33612.327
FORT CANNING MRT STATION,Exit A,30533.2213,29207.6732
UBI MRT STATION,Exit A,34684.822,35407.2342
UPPER CHANGI MRT STATION,Exit C,36016.6214,42278.2661
UPPER CHANGI MRT STATION,Exit B,35911.0226,42262.5793
TAMPINES EAST MRT STATION,Exit D,37672.7299,41621.5935
TANJONG PAGAR MRT STATION,Exit F,28871.6581,29514.5731
TANJONG PAGAR MRT STATION,Exit G,28916.4467,29517.4183
TANJONG PAGAR MRT STATION,Exit H,28658.405,29460.8767
ESPLANADE MRT STATION,Exit E,30613.144,30476.15
ESPLANADE MRT STATION,Exit F,30689.5169,30424.5982
ESPLANADE MRT STATION,Exit D,30557.2962,30505.7445
PROMENADE MRT STATION,Exit B,30694.2306,30984.6441
NICOLL HIGHWAY MRT STATION,Exit A,31391.697,31359.5841
STADIUM MRT STATION,Exit B,31745.6164,32775.2312
STADIUM MRT STATION,Exit A,31650.6139,32571.9882
MOUNTBATTEN MRT STATION,Exit B,32041.496,33556.7167
MOUNTBATTEN MRT STATION,Exit A,32119.6472,33484.2919
DAKOTA MRT STATION,Exit A,32347.6105,34231.0123
DAKOTA MRT STATION,Exit B,32268.2767,34083.2336
PAYA LEBAR MRT STATION,Exit C,33379.8443,34499.6335
PAYA LEBAR MRT STATION,Exit D,33207.1752,34539.3212
PROMENADE MRT STATION,Exit C,30720.8426,30995.7284
KHATIB MRT STATION,Exit D,44406.2706,27990.256
SIMEI MRT STATION,Exit A,36090.5661,41410.3611
BEDOK MRT STATION,Exit C,34035.1712,38693.3794
BUGIS MRT STATION,Exit D,31271.0696,30623.3616
CITY HALL MRT STATION,Exit C,30603.5254,30188.1778
QUEENSTOWN MRT STATION,Exit C,30869.4009,24913.4657
QUEENSTOWN MRT STATION,Exit D,30862.3988,24903.1684
COMMONWEALTH MRT STATION,Exit C,31602.6089,24156.01
COMMONWEALTH MRT STATION,Exit D,31595.4961,24149.5201
CLEMENTI MRT STATION,Exit D,32929.7344,20460.244
CLEMENTI MRT STATION,Exit C,32939.0093,20480.2431
JURONG EAST MRT STATION,Exit D,35086.3519,17870.3788
ANG MO KIO MRT STATION,Exit D,39100.155,29836.9172
SOMERSET MRT STATION,Exit C,31421.1492,28606.2027
SOMERSET MRT STATION,Exit D,31399.5783,28713.9952
MARINA SOUTH PIER MRT STATION,Exit A,28114.2901,31228.7537
MARINA SOUTH PIER MRT STATION,Exit B,28214.6768,31367.8255
CHINATOWN MRT STATION,Exit G,29685.1111,29239.7853
CHINATOWN MRT STATION,Exit F,29634.1026,29351.5213
BUKIT PANJANG MRT STATION,Exit B,40066.3095,19993.0778
HILLVIEW MRT STATION,Exit A,38281.0941,20696.1198
BEAUTY WORLD MRT STATION,Exit A,35983.5345,21619.3139
BEAUTY WORLD MRT STATION,Exit C,35793.9791,21594.5197
KING ALBERT PARK MRT STATION,Exit B,35351.0137,22573.8611
SIXTH AVENUE MRT STATION,Exit B,34858.4071,23941.2222
TAN KAH KEE MRT STATION,Exit B,34264.036,25160.1377
BOTANIC GARDENS MRT STATION,Exit B,33881.2681,26063.0601
NEWTON MRT STATION,Exit C,32878.6416,28547.9721
LITTLE INDIA MRT STATION,Exit F,32222.5244,29667.7823
ROCHOR MRT STATION,Exit B,31838.9705,30201.9736
DOWNTOWN MRT STATION,Exit A,29136.3747,30151.0479
