Station,Exit,latitude,longitude
ONE-NORTH MRT STATION,Exit B,31412.7099,22948.4143
OUTRAM PARK MRT STATION,Exit 3,29271.249,28720.131
DOVER MRT STATION,Exit A,32635.2407,21877.4771
DOVER MRT STATION,Exit B,32665.9534,21895.2905
BOON LAY MRT STATION,Exit D,35644.736,13791.8439
BOON LAY MRT STATION,Exit E,35631.9788,13758.8253
BOON LAY MRT STATION,Exit F,35605.3388,13807.9781
BUKIT BATOK MRT STATION,Exit B,36834.3198,18720.5537
JOO KOON MRT STATION,Exit A,34414.4919,10772.5529
JOO KOON MRT STATION,Exit B,34464.6952,10786.2857
CHOA CHU KANG MRT STATION,Exit D,40849.9638,18084.8676
KRANJI MRT STATION,Exit D,45208.7151,20118.5727
MARSILING MRT STATION,Exit B,46051.9685,21444.4203
MARSILING MRT STATION,Exit D,46051.9685,21398.4165
HARBOURFRONT MRT STATION,Exit E,27499.6968,26693.6161
HARBOURFRONT MRT STATION,Exit D,27611.0784,26673.4243
HARBOURFRONT MRT STATION,Exit A,27614.8305,26569.8659
CHINATOWN MRT STATION,Exit A,29571.9581,29166.2605
CLARKE QUAY MRT STATION,Exit B,30024.54,29400.588
CLARKE QUAY MRT STATION,Exit G,30178.627,29477.4314
LITTLE INDIA MRT STATION,Exit A,31992.719,29785.2656
SAM KEE LRT STATION,Exit B,43517.2191,35954.0257
DAMAI LRT STATION,Exit B,42988.502,36379.3311
OASIS LRT STATION,Exit B,42663.1713,36840.1475
KADALOOR LRT STATION,Exit B,42365.4899,37258.8798
RIVIERA LRT STATION,Exit B,41828.9331,37194.1677
RIVIERA LRT STATION,Exit A,41803.1201,37230.6293
CORAL EDGE LRT STATION,Exit B,41763.874,36835.0777
CORAL EDGE LRT STATION,Exit A,41732.2322,36828.7899
COVE LRT STATION,Exit B,42353.4199,36108.0523
HARBOURFRONT MRT STATION,Exit A,27512.1996,26797.0643
MACPHERSON MRT STATION,Exit A,34322.9852,34285.0683
MACPHERSON MRT STATION,Exit B,34231.9037,34382.1529
MACPHERSON MRT STATION,Exit C,34190.6029,34337.2918
TONGKANG LRT STATION,Exit B,41256.0528,33872.1451
TONGKANG LRT STATION,Exit A,41234.065,33858.5415
RENJONG LRT STATION,Exit A,40959.6067,34353.4469
RENJONG LRT STATION,Exit B,40972.4543,34356.6773
RANGGUNG LRT STATION,Exit A,40680.8038,35122.7339
RANGGUNG LRT STATION,Exit B,40672.8971,35111.8518
KANGKAR LRT STATION,Exit A,40669.5531,35659.7883
KANGKAR LRT STATION,Exit B,40635.3527,35674.1242
BAKAU LRT STATION,Exit A,41124.1249,36026.8081
BAKAU LRT STATION,Exit B,41086.0224,36030.8705
RUMBIA LRT STATION,Exit A,41473.0022,36090.5828
RUMBIA LRT STATION,Exit B,41481.158,36100.2676
ONE-NORTH MRT STATION,Exit A,31265.4268,22834.8569
KENT RIDGE MRT STATION,Exit B,30535.7052,22601.3726
KENT RIDGE MRT STATION,Exit A,30744.446,22563.1217
HAW PAR VILLA MRT STATION,Exit A,29499.3104,22289.3758
PASIR PANJANG MRT STATION,Exit A,28719.5118,23404.9289
LABRADOR PARK MRT STATION,Exit A,28288.6657,24554.0554
TELOK BLANGAH MRT STATION,Exit A,28135.4298,25391.8818
TAN KAH KEE MRT STATION,Exit A,34174.1287,25159.9415
CASHEW MRT STATION,Exit A,39094.8351,20311.7746
SIXTH AVENUE MRT STATION,Exit A,34776.4902,23909.8266
KING ALBERT PARK MRT STATION,Exit A,35302.4783,22403.4398
HILLVIEW MRT STATION,Exit B,38237.9829,20631.5903
BUKIT PANJANG MRT STATION,Exit A,40109.3297,20054.5576
ROCHOR MRT STATION,Exit A,31749.3301,30120.8083
DOWNTOWN MRT STATION,Exit F,29138.8939,30126.6957
TELOK AYER MRT STATION,Exit A,29370.1195,29690.2962
PIONEER MRT STATION,Exit A,35502.7109,12846.4681
PIONEER MRT STATION,Exit B,35556.5613,12843.5864
TANJONG PAGAR MRT STATION,Exit I,28768.6547,29373.0573
BUONA VISTA MRT STATION,Exit D,32069.3694,23282.5499
COMPASSVALE LRT STATION,Exit A,41803.2758,35489.3653
COMPASSVALE LRT STATION,Exit B,41826.1265,35499.3947
PUNGGOL POINT LRT STATION,Exit B,44273.1604,36165.5595
PUNGGOL POINT LRT STATION,Exit A,44300.882,36179.4123
NIBONG LRT STATION,Exit A,43732.2831,35428.9192
NIBONG LRT STATION,Exit B,43747.4942,35479.8595
SUMANG LRT STATION,Exit A,43355.8424,35235.5004
SUMANG LRT STATION,Exit B,43369.0542,35282.4009
DOWNTOWN MRT STATION,Exit E,29109.2235,30132.2939
DOWNTOWN MRT STATION,Exit B,29117.3409,30180.1585
DOWNTOWN MRT STATION,Exit C,29099.9864,30207.3098
DOWNTOWN MRT STATION,Exit D,29070.316,30191.9147
TELOK AYER MRT STATION,Exit C,29410.2888,29727.5912
FARRER PARK MRT STATION,Exit I,32673.9349,30502.7098
FARRER PARK MRT STATION,Exit H,32686.9422,30535.2282
BOON KENG MRT STATION,Exit C,33353.8585,31048.0455
POTONG PASIR MRT STATION,Exit A,34999.9472,31967.2361
NICOLL HIGHWAY MRT STATION,Exit B,31335.423,31431.4557
BOTANIC GARDENS MRT STATION,Exit A,33864.6849,25958.7545
FARRER ROAD MRT STATION,Exit A,33307.2941,25178.4192
FARRER ROAD MRT STATION,Exit B,33313.7402,25114.3165
HOLLAND VILLAGE MRT STATION,Exit C,32557.3344,23819.3911
HOLLAND VILLAGE MRT STATION,Exit A,32613.6235,23862.2758
BAYFRONT MRT STATION,Exit C,29474.9013,30924.558
BAYFRONT MRT STATION,Exit B,29460.5617,30942.6217
BEAUTY WORLD MRT STATION,Exit B,35970.9375,21559.9278
BISHAN MRT STATION,Exit D,37018.1232,29878.8327
BISHAN MRT STATION,Exit A,36965.7512,29667.8195
BOON KENG MRT STATION,Exit A,33596.2462,31136.5768
SENGKANG MRT STATION,Exit D,41586.9011,34942.84
SENGKANG MRT STATION,Exit B,41523.2975,34935.2116
SENGKANG MRT STATION,Exit A,41526.9991,34909.4849
SENGKANG MRT STATION,Exit C,41422.225,34887.6397
PUNGGOL MRT STATION,Exit A,43020.9394,35677.3516
PUNGGOL LRT STATION,Exit D,42921.2831,35620.8798
PUNGGOL MRT STATION,Exit B,43003.9854,35709.87
PUNGGOL LRT STATION,Exit C,42906.0568,35656.1708
BUANGKOK MRT STATION,Exit B,40511.9818,34693.3282
YISHUN MRT STATION,Exit C,45649.9932,28197.2266
TAI SENG MRT STATION,Exit B,35201.1804,34109.2921
BARTLEY MRT STATION,Exit B,36183.0849,33073.6831
BARTLEY MRT STATION,Exit A,36044.6134,33223.6144
